variant,model,inRequestedFormat,answerFragment
withExample,nex-agi/nex-n2.5-mini:free,true,
withoutExample,cohere/north-mini-code:free,false,
withExample,dots-studio/dots-3-note-preview:free,false,
withoutExample,inclusionai/ling-3.0-flash-sante:free,false,
withExample,cohere/north-mini-code:free,true,
withoutExample,nvidia/nemotron-3.5-lightning:free,false,
withExample,cohere/north-mini-code:free,false,
withoutExample,nvidia/nemotron-3-super-120b-a12b:free,false,
withExample,dots-studio/dots-3-note-preview:free,false,
withoutExample,dots-studio/dots-3-note-preview:free,false,
withExample,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,true,
withoutExample,nvidia/nemotron-3-super-120b-a12b:free,true,
withExample,inclusionai/ling-3.0-flash-sante:free,false,
withoutExample,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,true,
withExample,cohere/north-mini-code:free,false,
withoutExample,dots-studio/dots-3-note-preview:free,false,
withExample,nvidia/nemotron-3.5-content-safety:free,false,
withoutExample,nex-agi/nex-n2.5-mini:free,true,
withExample,liquid/lfm-2.5-2.6b:free,true,
withoutExample,inclusionai/ling-3.0-flash-fin:free,false,
withExample,nvidia/nemotron-3.5-content-safety:free,false,
withoutExample,cohere/north-mini-code:free,true,
withExample,poolside/laguna-xs-2.1:free,true,
withoutExample,dots-studio/dots-3-note-preview:free,false,
withExample,ERROR,false,
withoutExample,ERROR,false,
withExample,nvidia/nemotron-3-super-120b-a12b:free,true,
withoutExample,inclusionai/ling-3.0-flash-fin:free,false,
withExample,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,true,
withoutExample,nvidia/nemotron-3.5-lightning:free,true,
withExample,nvidia/nemotron-3.5-lightning:free,false,
withoutExample,nvidia/nemotron-3-super-120b-a12b:free,false,
withExample,nvidia/nemotron-3-super-120b-a12b:free,true,
withoutExample,cohere/north-mini-code:free,true,
withExample,inclusionai/ling-3.0-flash-fin:free,false,
withoutExample,inclusionai/ling-3.0-flash-sante:free,false,
withExample,ERROR,false,
withoutExample,nex-agi/nex-n2.5-mini:free,true,
withExample,ERROR,false,
withoutExample,nvidia/nemotron-3-super-120b-a12b:free,true,
withExample,inclusionai/ling-3.0-flash-fin:free,true,
withoutExample,nex-agi/nex-n2.5-mini:free,true,
withExample,ERROR,false,
withoutExample,nex-agi/nex-n2.5-mini:free,true,
withExample,inclusionai/ling-3.0-flash-fin:free,true,
withoutExample,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,true,
withExample,poolside/laguna-s-2.1:free,true,
withoutExample,nex-agi/nex-n2.5-pro:free,true,
withExample,nvidia/nemotron-3-super-120b-a12b:free,true,
withoutExample,inclusionai/ling-3.0-flash-fin:free,false,
withExample,nvidia/nemotron-3-super-120b-a12b:free,true,
withoutExample,nex-agi/nex-n2.5-mini:free,true,
withExample,poolside/laguna-xs-2.1:free,true,
withoutExample,inclusionai/ling-3.0-flash-fin:free,false,
withExample,nvidia/nemotron-3.5-content-safety:free,false,
withoutExample,nvidia/nemotron-3-super-120b-a12b:free,true,
withExample,cohere/north-mini-code:free,true,
withoutExample,ERROR,false,
withExample,nex-agi/nex-n2.5-pro:free,true,
withoutExample,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,true,
withExample,ERROR,false,
withoutExample,nvidia/nemotron-3.5-content-safety:free,false,
withExample,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,true,
withoutExample,dots-studio/dots-3-note-preview:free,false,
withExample,dots-studio/dots-3-note-preview:free,false,
withoutExample,poolside/laguna-xs-2.1:free,true,
withExample,nvidia/nemotron-3.5-lightning:free,false,
withoutExample,inclusionai/ling-3.0-flash-fin:free,false,
withExample,ERROR,false,
withoutExample,inclusionai/ling-3.0-flash-fin:free,false,
withExample,nvidia/nemotron-3.5-content-safety:free,false,
withoutExample,nvidia/nemotron-3.5-content-safety:free,false,
withExample,inclusionai/ling-3.0-flash-fin:free,true,
withoutExample,dots-studio/dots-3-note-preview:free,false,
withExample,nex-agi/nex-n2.5-mini:free,true,
withoutExample,nvidia/nemotron-3.5-lightning:free,true,
withExample,ERROR,false,
withoutExample,inclusionai/ling-3.0-flash-fin:free,false,
withExample,nvidia/nemotron-3.5-lightning:free,true,
withoutExample,dots-studio/dots-3-note-preview:free,false,
withExample,cohere/north-mini-code:free,false,
withoutExample,inclusionai/ling-3.0-flash-sante:free,false,
withExample,poolside/laguna-s-2.1:free,true,
withoutExample,inclusionai/ling-3.0-flash-fin:free,true,
withExample,poolside/laguna-xs-2.1:free,true,
withoutExample,nvidia/nemotron-3.5-lightning:free,false,
withExample,cohere/north-mini-code:free,false,
withoutExample,inclusionai/ling-3.0-flash-sante:free,false,
withExample,inclusionai/ling-3.0-flash-fin:free,false,
