model,year
nex-agi/nex-n2.5-mini:free,1866
cohere/north-mini-code:free,1866
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
liquid/lfm-2.5-2.6b:free,1881
poolside/laguna-xs-2.1:free,1876
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
nvidia/nemotron-3-super-120b-a12b:free,1866
inclusionai/ling-3.0-flash-fin:free,1870
inclusionai/ling-3.0-flash-fin:free,1870
poolside/laguna-s-2.1:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1860
poolside/laguna-xs-2.1:free,1866
cohere/north-mini-code:free,1870
nex-agi/nex-n2.5-pro:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1870
inclusionai/ling-3.0-flash-fin:free,1866
nex-agi/nex-n2.5-mini:free,1866
nvidia/nemotron-3.5-lightning:free,1880
poolside/laguna-s-2.1:free,1876
poolside/laguna-xs-2.1:free,1876
nvidia/nemotron-3-super-120b-a12b:free,1870
nvidia/nemotron-3-super-120b-a12b:free,1860
cohere/north-mini-code:free,1860
inclusionai/ling-3.0-flash-fin:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
inclusionai/ling-3.0-flash-fin:free,1880
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
nvidia/nemotron-3-super-120b-a12b:free,1866
nex-agi/nex-n2.5-pro:free,1880
nvidia/nemotron-3.5-lightning:free,1870
liquid/lfm-2.5-2.6b:free,1886
cohere/north-mini-code:free,1866
poolside/laguna-s-2.1:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
cohere/north-mini-code:free,1865
nvidia/nemotron-3.5-lightning:free,1885
inclusionai/ling-3.0-flash-fin:free,1860
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
nvidia/nemotron-3.5-lightning:free,1885
inclusionai/ling-3.0-flash-fin:free,1866
nex-agi/nex-n2.5-mini:free,1870
poolside/laguna-xs-2.1:free,1870
poolside/laguna-s-2.1:free,1876
nvidia/nemotron-3.5-lightning:free,1880
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1875
cohere/north-mini-code:free,1860
nex-agi/nex-n2.5-mini:free,1870
nex-agi/nex-n2.5-mini:free,1860
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1875
nex-agi/nex-n2.5-mini:free,1870
cohere/north-mini-code:free,1870
nex-agi/nex-n2.5-pro:free,1876
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
nvidia/nemotron-3-super-120b-a12b:free,1866
nex-agi/nex-n2.5-mini:free,1876
poolside/laguna-s-2.1:free,1870
nex-agi/nex-n2.5-mini:free,1870
nvidia/nemotron-3-super-120b-a12b:free,1866
inclusionai/ling-3.0-flash-fin:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1866
poolside/laguna-xs-2.1:free,1870
nex-agi/nex-n2.5-pro:free,1870
poolside/laguna-xs-2.1:free,1860
poolside/laguna-xs-2.1:free,1870
poolside/laguna-xs-2.1:free,1880
cohere/north-mini-code:free,1866
inclusionai/ling-3.0-flash-sante:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
nvidia/nemotron-3.5-lightning:free,1880
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
nex-agi/nex-n2.5-mini:free,1860
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
nvidia/nemotron-3-ultra-550b-a55b:free,1875
nvidia/nemotron-3-ultra-550b-a55b:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1870
liquid/lfm-2.5-2.6b:free,1894
poolside/laguna-s-2.1:free,1876
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
inclusionai/ling-3.0-flash-sante:free,1878
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
nvidia/nemotron-3-ultra-550b-a55b:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1866
cohere/north-mini-code:free,1865
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
cohere/north-mini-code:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1860
nex-agi/nex-n2.5-mini:free,1870
nvidia/nemotron-3.5-lightning:free,1875
inclusionai/ling-3.0-flash-fin:free,1870
nex-agi/nex-n2.5-mini:free,1870
poolside/laguna-s-2.1:free,1876
nex-agi/nex-n2.5-mini:free,1870
nex-agi/nex-n2.5-pro:free,1866
cohere/north-mini-code:free,1860
poolside/laguna-xs-2.1:free,1871
cohere/north-mini-code:free,1866
nvidia/nemotron-3.5-lightning:free,1880
nvidia/nemotron-3.5-lightning:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
poolside/laguna-xs-2.1:free,1870
inclusionai/ling-3.0-flash-fin:free,1865
nvidia/nemotron-3-ultra-550b-a55b:free,1870
nex-agi/nex-n2.5-mini:free,1875
inclusionai/ling-3.0-flash-fin:free,1875
nvidia/nemotron-3.5-lightning:free,1880
inclusionai/ling-3.0-flash-fin:free,1870
cohere/north-mini-code:free,1865
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
liquid/lfm-2.5-2.6b:free,1904
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
inclusionai/ling-3.0-flash-fin:free,1865
nex-agi/nex-n2.5-mini:free,1876
inclusionai/ling-3.0-flash-fin:free,1865
nvidia/nemotron-3-ultra-550b-a55b:free,1875
nvidia/nemotron-3.5-lightning:free,1876
cohere/north-mini-code:free,1866
nvidia/nemotron-3-ultra-550b-a55b:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1870
nex-agi/nex-n2.5-mini:free,1870
nex-agi/nex-n2.5-mini:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1880
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1866
poolside/laguna-xs-2.1:free,1880
poolside/laguna-xs-2.1:free,1876
nvidia/nemotron-3-ultra-550b-a55b:free,1875
nvidia/nemotron-3.5-lightning:free,1886
cohere/north-mini-code:free,1860
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1870
inclusionai/ling-3.0-flash-fin:free,1880
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1860
nvidia/nemotron-3-ultra-550b-a55b:free,1865
inclusionai/ling-3.0-flash-fin:free,1865
inclusionai/ling-3.0-flash-fin:free,1870
nvidia/nemotron-3-super-120b-a12b:free,1860
