model,year
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
nex-agi/nex-n2.5-mini:free,1865
cohere/north-mini-code:free,1865
nvidia/nemotron-3.5-lightning:free,1891
cohere/north-mini-code:free,1868
nex-agi/nex-n2.5-mini:free,1865
nvidia/nemotron-3-super-120b-a12b:free,1866
nex-agi/nex-n2.5-mini:free,1865
nex-agi/nex-n2.5-mini:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
nex-agi/nex-n2.5-pro:free,1866
nex-agi/nex-n2.5-mini:free,1875
nvidia/nemotron-3-super-120b-a12b:free,1860
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1874
poolside/laguna-xs-2.1:free,1876
nvidia/nemotron-3.5-lightning:free,1880
inclusionai/ling-3.0-flash-fin:free,1870
nex-agi/nex-n2.5-mini:free,1860
nvidia/nemotron-3-super-120b-a12b:free,1866
poolside/laguna-s-2.1:free,1866
nex-agi/nex-n2.5-mini:free,1876
nvidia/nemotron-3-super-120b-a12b:free,1875
cohere/north-mini-code:free,1866
poolside/laguna-s-2.1:free,1886
nvidia/nemotron-3-super-120b-a12b:free,1866
poolside/laguna-s-2.1:free,1866
liquid/lfm-2.5-2.6b:free,1886
cohere/north-mini-code:free,1870
google/gemma-4-26b-a4b-it:free,1866
nvidia/nemotron-3.5-lightning:free,1880
inclusionai/ling-3.0-flash-sante:free,1860
cohere/north-mini-code:free,1865
nex-agi/nex-n2.5-mini:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1866
liquid/lfm-2.5-2.6b:free,1875
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
google/gemma-4-31b-it:free,1860
nex-agi/nex-n2.5-mini:free,1866
liquid/lfm-2.5-2.6b:free,1872
nex-agi/nex-n2.5-mini:free,1870
nvidia/nemotron-3-super-120b-a12b:free,1866
poolside/laguna-s-2.1:free,1870
inclusionai/ling-3.0-flash-fin:free,1870
nex-agi/nex-n2.5-pro:free,1876
nex-agi/nex-n2.5-pro:free,1885
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1875
cohere/north-mini-code:free,1860
nex-agi/nex-n2.5-mini:free,1865
nex-agi/nex-n2.5-mini:free,1860
nvidia/nemotron-3-super-120b-a12b:free,1866
poolside/laguna-xs-2.1:free,1880
inclusionai/ling-3.0-flash-fin:free,1875
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1861
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1871
poolside/laguna-s-2.1:free,1876
nvidia/nemotron-3-super-120b-a12b:free,1866
poolside/laguna-xs-2.1:free,1871
nex-agi/nex-n2.5-mini:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1866
cohere/north-mini-code:free,1866
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1865
poolside/laguna-xs-2.1:free,1876
cohere/north-mini-code:free,1865
cohere/north-mini-code:free,1865
inclusionai/ling-3.0-flash-fin:free,1866
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1870
nvidia/nemotron-3-super-120b-a12b:free,1866
liquid/lfm-2.5-2.6b:free,1904
nex-agi/nex-n2.5-mini:free,1880
nvidia/nemotron-3.5-lightning:free,1885
nex-agi/nex-n2.5-mini:free,1870
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1875
nex-agi/nex-n2.5-pro:free,1870
nvidia/nemotron-3.5-lightning:free,1881
inclusionai/ling-3.0-flash-fin:free,1866
poolside/laguna-s-2.1:free,1868
poolside/laguna-xs-2.1:free,1886
nvidia/nemotron-3-ultra-550b-a55b:free,1875
cohere/north-mini-code:free,1866
poolside/laguna-xs-2.1:free,1868
nvidia/nemotron-3.5-lightning:free,1886
poolside/laguna-xs-2.1:free,1871
nvidia/nemotron-3-ultra-550b-a55b:free,1885
nex-agi/nex-n2.5-pro:free,1870
poolside/laguna-xs-2.1:free,1880
nvidia/nemotron-3-ultra-550b-a55b:free,1876
nvidia/nemotron-3-ultra-550b-a55b:free,1880
nvidia/nemotron-3-super-120b-a12b:free,1860
nex-agi/nex-n2.5-mini:free,1870
liquid/lfm-2.5-2.6b:free,1897
nvidia/nemotron-3-ultra-550b-a55b:free,1875
nex-agi/nex-n2.5-mini:free,1870
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1876
nvidia/nemotron-3-ultra-550b-a55b:free,1875
inclusionai/ling-3.0-flash-fin:free,1863
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1866
nvidia/nemotron-3.5-lightning:free,1885
inclusionai/ling-3.0-flash-fin:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3.5-lightning:free,1884
liquid/lfm-2.5-2.6b:free,1886
poolside/laguna-s-2.1:free,1876
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-ultra-550b-a55b:free,1885
poolside/laguna-xs-2.1:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1865
poolside/laguna-s-2.1:free,1870
liquid/lfm-2.5-2.6b:free,1876
inclusionai/ling-3.0-flash-fin:free,1866
nvidia/nemotron-3.5-lightning:free,1885
poolside/laguna-s-2.1:free,1875
poolside/laguna-xs-2.1:free,1866
nex-agi/nex-n2.5-mini:free,1875
poolside/laguna-s-2.1:free,1876
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-super-120b-a12b:free,1860
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1866
nvidia/nemotron-3.5-lightning:free,1885
nvidia/nemotron-3-super-120b-a12b:free,1866
nvidia/nemotron-3-ultra-550b-a55b:free,1880
